site	id	species	habitat
290	1	gova	BARE
291	2	gova	RUBBLE
294	3	gova	RUBBLE
5	4	gova	PSPMASSIVE
162	5	gova	BARE
289	6	gova	BRANCHING
293	7	gova	BARE
297	8	gova	BARE
299	9	gova	BRANCHING
209	10	gova	BRANCHING
216	11	gova	BRANCHING
223	12	gova	BRANCHING
230	13	gova	BRANCHING
162	14	gova	BRANCHING
289	15	gova	RUBBLE
299	16	gova	BRANCHING
302	17	gova	BRANCHING
303	18	gova	BRANCHING
211	19	gova	BRANCHING
213	20	gova	BRANCHING
216	21	gova	BRANCHING
216	22	gova	BRANCHING
223	23	gova	BRANCHING
223	24	gova	PSPMASSIVE
149	25	gova	ALGAE
1	26	gova	BRANCHING
162	27	gova	PSPMASSIVE
297	28	gova	BARE
299	29	gova	BRANCHING
303	30	gova	BRANCHING
209	31	gova	BRANCHING
222	32	gova	PSPMASSIVE
175	33	gova	BRANCHING
299	34	gova	BRANCHING
307	35	gova	ALGAE
322	36	gova	ALGAE
211	37	gova	BRANCHING
230	38	gova	BRANCHING
1	39	gova	BARE
2	40	gova	RUBBLE
141	41	gova	BRANCHING
241	42	gova	PSPMASSIVE
248	43	gova	BRANCHING
169	44	gova	BRANCHING
171	45	gova	BRANCHING
299	46	gova	BRANCHING
300	47	gova	BRANCHING
302	48	gova	BRANCHING
303	49	gova	BARE
213	50	gova	BRANCHING
213	51	gova	BRANCHING
233	52	gova	BRANCHING
13	53	gova	BRANCHING
195	54	gova	BRANCHING
141	55	gova	BRANCHING
241	56	gova	PSPMASSIVE
248	57	gova	BRANCHING
130	58	gova	BARE
248	59	gova	BARE
162	60	gova	PSPMASSIVE
303	61	gova	BRANCHING
216	62	gova	BRANCHING
130	63	gova	BARE
248	64	gova	BARE
175	65	gova	BRANCHING
303	66	gova	BRANCHING
230	67	gova	BRANCHING
237	68	gova	ALGAE
133	69	gova	PSPMASSIVE
137	70	gova	PSPMASSIVE
14	71	gova	BRANCHING
133	72	gova	PSPMASSIVE
137	73	gova	PSPMASSIVE
243	74	gova	BARE
169	75	gova	BRANCHING
170	76	gova	BRANCHING
171	77	gova	BRANCHING
171	78	gova	BRANCHING
303	79	gova	BRANCHING
223	80	gova	BRANCHING
13	81	gova	BRANCHING
336	82	gova	BRANCHING
243	83	gova	BARE
251	84	gova	BARE
171	85	gova	BRANCHING
222	86	gova	PSPMASSIVE
2	87	gova	RUBBLE
13	88	gova	BRANCHING
251	89	gova	BARE
138	90	gova	BARE
252	91	gova	PSPMASSIVE
253	92	gova	PSPMASSIVE
162	93	gova	RUBBLE
170	94	gova	PSPMASSIVE
171	95	gova	BRANCHING
289	96	gova	BARE
291	97	gova	RUBBLE
311	98	gova	BRANCHING
208	99	gova	BRANCHING
209	100	gova	BRANCHING
13	101	gova	BRANCHING
13	102	gova	BRANCHING
138	103	gova	BARE
252	104	gova	PSPMASSIVE
253	105	gova	PSPMASSIVE
133	106	gova	BRANCHING
162	107	gova	BRANCHING
171	108	gova	BRANCHING
297	109	gova	PSPMASSIVE
211	110	gova	BRANCHING
213	111	gova	PSPMASSIVE
216	112	gova	BARE
