id	species	position
1	gova	crest
2	gova	crest
3	gova	crest
4	gova	crest
5	gova	crest
6	gova	crest
7	gova	crest
8	gova	crest
9	gova	crest
10	gova	crest
11	gova	crest
12	gova	crest
13	gova	crest
14	gova	crest
15	gova	crest
16	gova	crest
17	gova	crest
18	gova	crest
19	gova	crest
20	gova	crest
21	gova	crest
22	gova	crest
23	gova	crest
24	gova	crest
25	gova	crest
26	gova	crest
27	gova	crest
28	gova	crest
29	gova	crest
30	gova	crest
31	gova	crest
32	gova	crest
33	gova	crest
34	gova	crest
35	gova	crest
36	gova	crest
37	gova	crest
38	gova	crest
39	gova	crest
40	gova	crest
41	gova	crest
42	gova	crest
43	gova	crest
44	gova	crest
45	gova	crest
46	gova	crest
47	gova	crest
48	gova	crest
49	gova	crest
50	gova	crest
51	gova	crest
52	gova	crest
53	gova	crest
54	gova	crest
55	gova	crest
56	gova	crest
57	gova	crest
58	gova	crest
59	gova	offshore
60	gova	offshore
61	gova	offshore
62	gova	offshore
63	gova	offshore
64	gova	offshore
65	gova	offshore
66	gova	offshore
67	gova	offshore
68	gova	offshore
69	gova	offshore
70	gova	offshore
71	gova	offshore
72	gova	offshore
73	gova	offshore
74	gova	offshore
75	gova	offshore
76	gova	offshore
77	gova	offshore
78	gova	offshore
79	gova	offshore
80	gova	offshore
81	gova	offshore
82	gova	offshore
83	gova	offshore
84	gova	offshore
85	gova	offshore
86	gova	offshore
87	gova	offshore
88	gova	offshore
89	gova	offshore
90	gova	offshore
91	gova	offshore
92	gova	offshore
93	gova	offshore
94	gova	offshore
95	gova	offshore
96	gova	offshore
97	gova	offshore
98	gova	offshore
99	gova	offshore
100	gova	offshore
101	gova	offshore
102	gova	offshore
103	gova	offshore
104	gova	offshore
105	gova	offshore
106	gova	offshore
107	gova	offshore
108	gova	offshore
109	gova	offshore
110	gova	offshore
111	gova	offshore
112	gova	offshore
113	gova	offshore
114	gova	offshore
115	gova	middle
116	gova	middle
117	gova	middle
118	gova	middle
119	gova	middle
120	gova	middle
121	gova	middle
122	gova	middle
123	gova	middle
124	gova	middle
125	gova	middle
126	gova	middle
127	gova	middle
128	gova	middle
129	gova	middle
130	gova	middle
131	gova	middle
132	gova	middle
133	gova	middle
134	gova	middle
135	gova	middle
136	gova	middle
137	gova	middle
138	gova	middle
139	gova	middle
140	gova	middle
141	gova	middle
142	gova	middle
143	gova	middle
144	gova	middle
145	gova	middle
146	gova	middle
147	gova	middle
148	gova	middle
149	gova	middle
150	gova	inshore
151	gova	inshore
152	gova	inshore
153	gova	inshore
154	gova	inshore
155	gova	inshore
156	gova	inshore
157	gova	inshore
158	gova	shore
324	pshe	crest
325	pshe	crest
326	pshe	crest
327	pshe	crest
328	pshe	crest
329	pshe	crest
330	pshe	crest
331	pshe	crest
332	pshe	crest
333	pshe	crest
334	pshe	crest
335	pshe	crest
336	pshe	crest
337	pshe	crest
338	pshe	crest
339	pshe	crest
340	pshe	crest
341	pshe	crest
342	pshe	crest
343	pshe	crest
344	pshe	crest
345	pshe	crest
346	pshe	crest
347	pshe	crest
348	pshe	crest
349	pshe	crest
350	pshe	crest
351	pshe	crest
352	pshe	crest
353	pshe	crest
354	pshe	crest
355	pshe	crest
356	pshe	crest
357	pshe	crest
358	pshe	crest
359	pshe	crest
360	pshe	offshore
361	pshe	offshore
362	pshe	offshore
363	pshe	offshore
364	pshe	offshore
365	pshe	offshore
366	pshe	offshore
367	pshe	offshore
368	pshe	offshore
369	pshe	offshore
