id	species	elevation
id1	Coprosma foetidissima	620
id2	Coprosma foetidissima	620
id3	Coprosma foetidissima	655
id4	Coprosma foetidissima	655
id5	Coprosma foetidissima	655
id6	Coprosma foetidissima	655
id7	Coprosma foetidissima	820
id8	Coprosma foetidissima	820
id9	Coprosma foetidissima	820
id10	Coprosma foetidissima	820
id11	Coprosma foetidissima	820
id12	Coprosma foetidissima	820
id13	Coprosma foetidissima	820
id14	Coprosma foetidissima	820
id15	Coprosma foetidissima	820
id16	Coprosma foetidissima	820
id17	Coprosma foetidissima	820
id18	Coprosma foetidissima	820
id19	Coprosma foetidissima	820
id20	Coprosma foetidissima	820
id21	Coprosma foetidissima	820
id22	Coprosma foetidissima	820
id23	Coprosma foetidissima	820
id24	Coprosma foetidissima	820
id25	Coprosma foetidissima	820
id26	Coprosma foetidissima	820
id27	Coprosma foetidissima	820
id28	Coprosma foetidissima	820
id29	Coprosma foetidissima	820
id30	Coprosma foetidissima	820
id31	Coprosma foetidissima	820
id32	Coprosma foetidissima	820
id33	Coprosma foetidissima	820
id34	Coprosma foetidissima	820
id35	Coprosma foetidissima	820
id36	Coprosma foetidissima	820
id37	Coprosma foetidissima	1270
id38	Coprosma microcarpa   	655
id39	Coprosma microcarpa   	730
id40	Coprosma microcarpa   	730
id41	Coprosma microcarpa   	730
id42	Coprosma microcarpa   	730
id43	Coprosma microcarpa   	820
id44	Coprosma microcarpa   	820
id45	Coprosma microcarpa   	820
id46	Coprosma microcarpa   	820
id47	Coprosma microcarpa   	820
id48	Coprosma microcarpa   	820
id49	Coprosma microcarpa   	885
id50	Coprosma microcarpa   	885
id51	Coprosma microcarpa   	885
id52	Coprosma microcarpa   	885
id53	Coprosma microcarpa   	885
id54	Coprosma microcarpa   	925
id55	Coprosma microcarpa   	925
id56	Coprosma microcarpa   	925
id57	Coprosma microcarpa   	925
id58	Coprosma microcarpa   	925
id59	Coprosma microcarpa   	925
id60	Coprosma microcarpa   	925
id61	Coprosma microcarpa   	925
id62	Coprosma microcarpa   	1030
id63	Coprosma microcarpa   	1030
id64	Coprosma microcarpa   	1030
id65	Coprosma microcarpa   	1030
id66	Coprosma microcarpa   	1030
id67	Coprosma microcarpa   	1100
id68	Coprosma microcarpa   	1100
id69	Coprosma microcarpa   	1345
id70	Coprosma pseudociliata	1270
id71	Coprosma pseudociliata	1270
id72	Coprosma pseudociliata	1270
id73	Coprosma pseudociliata	1270
id74	Coprosma pseudociliata	1270
id75	Coprosma pseudociliata	1270
id76	Coprosma pseudociliata	1270
id77	Coprosma pseudociliata	1310
id78	Coprosma pseudociliata	1310
id79	Coprosma pseudociliata	1310
id80	Coprosma pseudociliata	1310
id81	Coprosma pseudociliata	1310
id82	Coprosma pseudociliata	1345
id83	Coprosma pseudociliata	1345
id84	Coprosma pseudociliata	1345
id85	Coprosma pseudociliata	1345
id86	Coprosma pseudociliata	1345
id87	Coprosma pseudociliata	1345
id88	Coprosma pseudociliata	1345
id89	Coprosma pseudociliata	1385
id90	Coprosma pseudociliata	1385
id91	Coprosma pseudociliata	1385
id92	Coprosma pseudociliata	1385
id93	Coprosma pseudociliata	1420
id94	Coprosma pseudociliata	1420
id95	Coprosma pseudociliata	1420
id96	Coprosma pseudociliata	1420
id97	Coprosma pseudociliata	1420
id98	Coprosma pseudociliata	1420
id99	Coprosma pseudociliata	1420
id100	Coprosma pseudoconecta	690
id101	Coprosma pseudoconecta	690
id102	Coprosma pseudoconecta	690
id103	Coprosma pseudoconecta	690
id104	Coprosma pseudoconecta	690
id105	Coprosma pseudoconecta	690
id106	Coprosma pseudoconecta	820
id107	Coprosma pseudoconecta	820
id108	Coprosma pseudoconecta	925
id109	Coprosma pseudoconecta	925
id110	Coprosma pseudoconecta	925
id111	Coprosma pseudoconecta	1030
id112	Coprosma pseudoconecta	1030
id113	Coprosma pseudoconecta	1030
id114	Coprosma pseudoconecta	1030
id115	Coprosma pseudoconecta	1030
id116	Coprosma pseudoconecta	1030
id117	Coprosma pseudoconecta	1030
id118	Coprosma pseudoconecta	1075
id119	Coprosma pseudoconecta	1100
id120	Coprosma pseudoconecta	1230
id121	Coprosma pseudoconecta	1230
id122	Coprosma pseudoconecta	1230
id123	Coprosma pseudoconecta	1270
id124	Coprosma pseudoconecta	1270
id125	Coprosma pseudoconecta	1270
id126	Coprosma pseudoconecta	1270
id127	Coprosma pseudoconecta	1270
id128	Coprosma pseudoconecta	1270
id129	Coprosma pseudoconecta	1270
id130	Coprosma pseudoconecta	1270
id131	Coprosma pseudoconecta	1270
id132	Coprosma pseudoconecta	1270
id133	Coprosma pseudoconecta	1270
id134	Coprosma pseudoconecta	1270
id135	Coprosma pseudoconecta	1270
id136	Coprosma pseudoconecta	1270
id137	Coprosma pseudoconecta	1270
id138	Coprosma pseudoconecta	1270
id139	Coprosma pseudoconecta	1270
id140	Coprosma pseudoconecta	1270
id141	Coprosma pseudoconecta	1270
id142	Coprosma pseudoconecta	1270
id143	Coprosma pseudoconecta	1270
id144	Coprosma pseudoconecta	1270
id145	Coprosma pseudoconecta	1270
id146	Coprosma pseudoconecta	1270
id147	Coprosma pseudoconecta	1270
id148	Coprosma pseudoconecta	1270
id149	Coprosma pseudoconecta	1270
id150	Coprosma pseudoconecta	1270
id151	Coprosma pseudoconecta	1270
id152	Coprosma pseudoconecta	1270
id153	Coprosma pseudoconecta	1270
id154	Coprosma pseudoconecta	1270
id155	Coprosma pseudoconecta	1270
id156	Coprosma pseudoconecta	1270
id157	Coprosma pseudoconecta	1270
id158	Coprosma pseudoconecta	1270
id159	Coprosma pseudoconecta	1270
id160	Coprosma pseudoconecta	1270
id161	Coprosma pseudoconecta	1270
id162	Coprosma pseudoconecta	1270
id163	Coprosma pseudoconecta	1270
id164	Coprosma pseudoconecta	1270
id165	Coprosma pseudoconecta	1270
id166	Coprosma pseudoconecta	1270
id167	Coprosma pseudoconecta	1270
id168	Coprosma pseudoconecta	1270
id169	Coprosma pseudoconecta	1270
id170	Coprosma pseudoconecta	1270
id171	Coprosma pseudoconecta	1270
id172	Coprosma pseudoconecta	1270
id173	Coprosma pseudoconecta	1270
id174	Coprosma pseudoconecta	1270
id175	Coprosma pseudoconecta	1270
id176	Coprosma pseudoconecta	1270
id177	Coprosma pseudoconecta	1270
id178	Coprosma pseudoconecta	1270
id179	Coprosma pseudoconecta	1270
id180	Coprosma pseudoconecta	1270
id181	Coprosma pseudoconecta	1270
id182	Coprosma pseudoconecta	1270
id183	Coprosma pseudoconecta	1270
id184	Coprosma pseudoconecta	1270
id185	Coprosma pseudoconecta	1270
id186	Coprosma pseudoconecta	1270
id187	Coprosma pseudoconecta	1310
id188	Coprosma pseudoconecta	1310
id189	Coprosma pseudoconecta	1310
id190	Coprosma pseudoconecta	1310
id191	Coprosma pseudoconecta	1310
id192	Coprosma pseudoconecta	1310
id193	Coprosma pseudoconecta	1310
id194	Coprosma pseudoconecta	1310
id195	Coprosma pseudoconecta	1310
id196	Coprosma pseudoconecta	1310
id197	Coprosma pseudoconecta	1310
id198	Coprosma pseudoconecta	1310
id199	Coprosma pseudoconecta	1310
id200	Coprosma pseudoconecta	1310
id201	Coprosma pseudoconecta	1310
id202	Coprosma pseudoconecta	1310
id203	Coprosma pseudoconecta	1310
id204	Coprosma pseudoconecta	1310
id205	Coprosma pseudoconecta	1310
id206	Coprosma pseudoconecta	1310
id207	Coprosma pseudoconecta	1310
id208	Coprosma pseudoconecta	1310
id209	Coprosma pseudoconecta	1310
id210	Coprosma pseudoconecta	1310
id211	Coprosma pseudoconecta	1310
id212	Coprosma pseudoconecta	1310
id213	Coprosma pseudoconecta	1310
id214	Coprosma pseudoconecta	1310
id215	Coprosma pseudoconecta	1310
id216	Coprosma pseudoconecta	1310
id217	Coprosma pseudoconecta	1310
id218	Coprosma pseudoconecta	1310
id219	Coprosma pseudoconecta	1310
id220	Coprosma pseudoconecta	1310
id221	Coprosma pseudoconecta	1310
id222	Coprosma pseudoconecta	1310
id223	Coprosma pseudoconecta	1310
id224	Coprosma pseudoconecta	1310
id225	Coprosma pseudoconecta	1345
id226	Coprosma pseudoconecta	1345
id227	Coprosma pseudoconecta	1345
id228	Coprosma pseudoconecta	1345
id229	Coprosma pseudoconecta	1345
id230	Coprosma pseudoconecta	1345
id231	Coprosma pseudoconecta	1345
id232	Coprosma pseudoconecta	1345
id233	Coprosma pseudoconecta	1345
id234	Coprosma pseudoconecta	1345
id235	Coprosma pseudoconecta	1345
id236	Coprosma pseudoconecta	1345
id237	Coprosma pseudoconecta	1345
id238	Coprosma pseudoconecta	1345
id239	Coprosma pseudoconecta	1345
id240	Coprosma pseudoconecta	1345
id241	Coprosma pseudoconecta	1345
id242	Coprosma pseudoconecta	1345
id243	Coprosma pseudoconecta	1345
id244	Coprosma pseudoconecta	1345
id245	Coprosma pseudoconecta	1345
id246	Coprosma pseudoconecta	1345
id247	Coprosma pseudoconecta	1345
id248	Coprosma pseudoconecta	1345
id249	Coprosma pseudoconecta	1345
id250	Coprosma pseudoconecta	1345
id251	Coprosma pseudoconecta	1345
id252	Coprosma pseudoconecta	1345
id253	Coprosma pseudoconecta	1345
id254	Coprosma pseudoconecta	1345
id255	Coprosma pseudoconecta	1345
id256	Coprosma pseudoconecta	1345
id257	Coprosma pseudoconecta	1345
id258	Coprosma pseudoconecta	1345
id259	Coprosma pseudoconecta	1345
id260	Coprosma pseudoconecta	1345
id261	Coprosma pseudoconecta	1345
id262	Coprosma pseudoconecta	1345
id263	Coprosma pseudoconecta	1345
id264	Coprosma pseudoconecta	1345
id265	Coprosma pseudoconecta	1345
id266	Coprosma pseudoconecta	1345
id267	Coprosma pseudoconecta	1345
id268	Coprosma pseudoconecta	1345
id269	Coprosma pseudoconecta	1385
id270	Coprosma pseudoconecta	1385
id271	Coprosma pseudoconecta	1385
id272	Coprosma pseudoconecta	1385
id273	Coprosma pseudoconecta	1385
id274	Coprosma pseudoconecta	1385
id275	Coprosma pseudoconecta	1385
id276	Coprosma pseudoconecta	1385
id277	Coprosma pseudoconecta	1385
id278	Coprosma pseudoconecta	1385
id279	Coprosma pseudoconecta	1385
id280	Coprosma pseudoconecta	1385
id281	Coprosma pseudoconecta	1385
id282	Coprosma pseudoconecta	1385
id283	Coprosma pseudoconecta	1385
id284	Coprosma pseudoconecta	1385
id285	Coprosma pseudoconecta	1385
id286	Coprosma pseudoconecta	1385
id287	Coprosma pseudoconecta	1385
id288	Coprosma pseudoconecta	1385
id289	Coprosma pseudoconecta	1385
id290	Coprosma pseudoconecta	1385
id291	Coprosma pseudoconecta	1385
id292	Coprosma pseudoconecta	1420
id293	Coprosma pseudoconecta	1420
id294	Coprosma pseudoconecta	1420
id295	Coprosma pseudoconecta	1420
id296	Coprosma pseudoconecta	1420
id297	Coprosma pseudoconecta	1420
id298	Coprosma pseudoconecta	1420
id299	Coprosma pseudoconecta	1420
id300	Coprosma pseudoconecta	1420
id301	Coprosma pseudoconecta	1420
id302	Coprosma pseudoconecta	1420
id303	Coprosma pseudoconecta	1420
id304	Coprosma pseudoconecta	1420
id305	Coprosma pseudoconecta	1420
id306	Coprosma pseudoconecta	1420
id307	Coprosma pseudoconecta	1420
id308	Coprosma pseudoconecta	1420
id309	Coprosma pseudoconecta	1420
id310	Coprosma pseudoconecta	1460
id311	Coprosma pseudoconecta	1460
id312	Coprosma pseudoconecta	1460
id313	Coprosma rhamnoides   	620
id314	Coprosma rhamnoides   	655
id315	Coprosma rhamnoides   	655
id316	Coprosma rhamnoides   	820
id317	Coprosma rhamnoides   	820
id318	Coprosma rhamnoides   	820
id319	Coprosma rhamnoides   	820
id320	Coprosma rhamnoides   	820
id321	Coprosma rhamnoides   	820
id322	Coprosma rhamnoides   	820
id323	Coprosma rhamnoides   	820
id324	Coprosma rhamnoides   	820
id325	Coprosma rhamnoides   	820
