site	PSPMASSIVE	BRANCHING	ALGAE	BARE	OTHER	RUBBLE
1	4.21	13.81	10.74	13.04	0.38	61.65
2	5.46	15.2	3.9	14.42	0	61.03
3	4.55	12.89	0.76	15.16	0.76	62.11
4	11.97	8.68	2.7	5.98	0.3	70.07
5	28.29	0	0	10.13	0	65.07
6	3.04	20.36	0.9	6.08	0	69.62
8	26.74	3.34	0.42	10.44	0	58.21
9	23.02	3.73	0.34	6.77	0	66.14
10	11.93	2	0	14.59	0	73.49
11	17.4	0	0.61	12.21	0	69.47
12	28.13	1.13	4.13	4.13	0	62.5
13	4.87	12.72	30.26	4.87	0	51.28
14	0	7.37	0.64	24.04	0	67.94
15	28.56	6.67	0	1.48	0.37	62.92
16	25.53	0	0	1.34	0	73.13
17	12.7	5.98	16.06	1.87	0	62.63
18	12.84	2.2	13.46	3.13	0.31	68.68
20	9.9	0.66	19.13	3.3	0	67.01
21	0	31.37	8.04	0.8	0	59.78
24	14.76	7.38	7.7	2.25	0	67.92
27	0	25.29	10.63	0.73	0	63.34
130	2.11	2.63	2.63	18.68	0.26	73.69
131	8.72	4.62	0.77	11.54	0.51	74.35
133	14.34	8.2	0.68	10.93	0.34	65.84
135	6.16	3.51	1.47	17.9	0.29	70.65
136	10.63	3.47	0	7.59	0	78.3
137	24.68	1.82	0.3	3.05	0.3	69.52
138	22.54	2.89	0.96	5.8	0.32	67.8
139	6.2	16.14	15.72	2.9	0.41	58.63
140	14.45	8.67	0	2.63	0.53	73.74
141	6.45	11.56	25.8	2.67	0.88	55.51
146	27.89	0	0	0.28	0.28	71.54
148	4.17	0	10.91	4.56	0.2	80.16
149	1.93	20.02	1.45	0.72	0	75.88
150	20.01	0	7.83	1.16	0	71
152	9.5	1.68	4.2	12.85	0.56	72.06
154	3.2	0.32	27.28	3.2	0	68
157	15.43	0	6.32	1.64	0	76.62
158	8.37	0.33	17.06	5.69	0.67	66.54
159	12.41	0	15.83	2.79	0	68.96
161	21.9	1.8	1.5	4.8	0	70
162	21.12	1.6	0	8.96	0.32	68
163	8.64	4.17	0	16.69	0.3	70.2
164	19.59	1.62	0	5.37	0	73.16
165	30.65	0	0	1.28	0	68.06
166	6.52	8.56	0.82	24.85	0.41	59.27
167	5.17	21.54	0	2.3	0.29	71.27
169	1.7	12.19	2.71	16.93	0.34	66.14
170	6.2	22.33	0	2.48	0	68.99
171	12.86	3.01	0.86	27	0	57.14
172	20.12	1.51	0	3.52	0	74.86
173	13.34	7.32	0.43	19.37	0.43	56.96
