id	species	pfar
1	gova	1.51
2	gova	1.5
3	gova	1.556
4	gova	1.511
5	gova	1.742
6	gova	1.742
7	gova	1.859
8	gova	1.622
9	gova	1.461
10	gova	1.317
11	gova	1.392
12	gova	1.538
13	gova	1.412
14	gova	1.662
15	gova	1.553
16	gova	1.771
17	gova	1.779
18	gova	1.707
19	gova	1.816
20	pshe	1.306
21	pshe	1.364
22	pshe	1.536
23	pshe	1.515
24	pshe	1.491
25	pshe	1.455
26	scso	1.686
27	scso	1.861
28	scso	1.898
29	scso	1.762
30	scso	1.932
31	scso	1.828
32	scso	1.641
33	scso	1.723
34	scso	1.899
35	scso	1.914
36	scso	1.892
37	scso	1.863
38	scso	2.071
39	scso	1.9
40	scso	1.909
41	scso	1.813
42	scso	1.961
43	thha	1.238
44	thha	1.241
45	thha	1.23
46	thha	1.468
47	thha	1.435
48	thha	1.472
49	thha	1.414
50	thha	1.433
51	thha	1.327
52	thha	1.517
53	thha	1.563
54	thha	1.758
55	thha	1.421
56	thha	1.381
57	thha	1.583
58	thha	1.541
59	thqu	1.489
60	thqu	1.6
61	thqu	1.791
62	thqu	1.564
63	thqu	1.445
64	thqu	1.815
65	thqu	1.52
66	thqu	1.645
67	thqu	1.89
68	thqu	1.748
69	thqu	1.857
70	thqu	1.527
71	thqu	1.725
72	thqu	1.966
73	thqu	1.953
