id	species	sla
id1	Coprosma foetidissima	116.57
id2	Coprosma foetidissima	172.69
id3	Coprosma foetidissima	123.85
id4	Coprosma foetidissima	161.23
id5	Coprosma microcarpa   	73.91
id6	Coprosma microcarpa   	88.89
id7	Coprosma microcarpa   	122
id8	Coprosma microcarpa   	88.04
id9	Coprosma microcarpa   	56.25
id10	Coprosma microcarpa   	71.01
id11	Coprosma microcarpa   	23.68
id12	Coprosma microcarpa   	65.63
id13	Coprosma pseudociliata	135.88
id14	Coprosma pseudociliata	114.29
id15	Coprosma pseudociliata	131.89
id16	Coprosma pseudociliata	145.45
id17	Coprosma pseudociliata	102.73
id18	Coprosma pseudoconecta	48.57
id19	Coprosma pseudoconecta	50.29
id20	Coprosma pseudoconecta	63.01
id21	Coprosma pseudoconecta	53.98
id22	Coprosma pseudoconecta	109.24
id23	Coprosma pseudoconecta	94.6
id24	Coprosma pseudoconecta	62.42
id25	Coprosma pseudoconecta	47.24
id26	Coprosma pseudoconecta	59.87
id27	Coprosma pseudoconecta	38.03
id28	Coprosma pseudoconecta	42.98
id29	Coprosma pseudoconecta	32.48
id30	Coprosma pseudoconecta	48.62
id31	Coprosma rhamnoides   	95.15
id32	Coprosma rhamnoides   	117.14
id33	Coprosma rhamnoides   	78.43
id34	Coprosma rhamnoides   	100
id35	Coprosma rhamnoides   	135.56
